,level_0,index,price,year,manufacturer,model,condition,cylinders,odometer,transmission,type,state,age,Condition,Cylinders,Manufacturer,Transmission,Model,Type,bin
733,733,7023,9995,2007.0,jeep,wrangler,excellent,6 cylinders,119655.0,automatic,SUV,va,13.0,3,6,10,0,407,6,110000-120000
734,734,7024,6995,2008.0,honda,odyssey,excellent,6 cylinders,119160.0,automatic,mini-van,va,12.0,3,6,14,0,215,9,110000-120000
735,735,7025,7495,2012.0,ford,focus,excellent,4 cylinders,78600.0,automatic,hatchback,va,8.0,3,4,13,0,255,1,70000-80000
736,736,7026,4995,2005.0,toyota,rav4,excellent,4 cylinders,143350.0,automatic,SUV,va,15.0,3,4,1,0,113,6,140000-150000
737,737,7027,14995,2015.0,toyota,rav4,excellent,4 cylinders,102118.0,automatic,SUV,va,5.0,3,4,1,0,113,6,100000-110000
738,738,7028,10995,2016.0,jeep,cherokee,excellent,4 cylinders,94226.0,automatic,SUV,va,4.0,3,4,10,0,426,6,90000-100000
739,739,7029,10995,2017.0,kia,sorento,excellent,4 cylinders,133927.0,automatic,SUV,va,3.0,3,4,27,0,150,6,130000-140000
740,740,7030,12495,2016.0,kia,optima,excellent,4 cylinders,47748.0,automatic,sedan,va,4.0,3,4,27,0,385,0,40000-50000
741,741,7031,7890,2009.0,bmw,535i,like new,6 cylinders,99775.0,automatic,sedan,va,11.0,4,6,21,0,389,0,90000-100000
742,742,7034,17995,2011.0,ford,f-150 supercrew,good,8 cylinders,132000.0,automatic,pickup,va,9.0,2,8,13,0,380,3,130000-140000
743,743,7045,22750,2014.0,chevrolet,silverado 1500 lt 4wd,excellent,6 cylinders,63055.0,automatic,pickup,va,6.0,3,6,9,0,427,3,60000-70000
744,744,7046,7500,2013.0,ford,fusion se,excellent,4 cylinders,109000.0,automatic,sedan,va,7.0,3,4,13,0,190,0,100000-110000
745,745,7048,10995,2010.0,chevrolet,suburban,excellent,8 cylinders,145000.0,automatic,SUV,va,10.0,3,8,9,0,339,6,140000-150000
746,746,7049,12995,2009.0,ford,f-250 super duty,excellent,8 cylinders,148000.0,automatic,pickup,va,11.0,3,8,13,0,233,3,140000-150000
747,747,7050,7250,2010.0,dodge,grand caravan,excellent,6 cylinders,129000.0,automatic,mini-van,va,10.0,3,6,11,0,416,9,120000-130000
748,748,7051,6995,2008.0,toyota,prius,excellent,4 cylinders,76000.0,automatic,hatchback,va,12.0,3,4,1,0,213,1,70000-80000
749,749,7052,9749,2014.0,subaru,forester,excellent,4 cylinders,126000.0,automatic,wagon,va,6.0,3,4,0,0,363,2,120000-130000
